OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
11093,CMH,KCMH,B3,1,2,8.67103651130963e-07,0.00870384484188883
11094,CMH,KCMH,B,1,2,1.96449263967224e-07,0.0030207878664449
11095,CMH,KCMH,B,1,2,3.940535862057e-07,0.00322960437168682
11096,CMH,KCMH,A_A5,1,2,4.54623707984991e-07,0.00338075411740362
11097,CMH,KCMH,A,1,2,1.43318385677216e-06,0.0143722726773116
11098,CMH,KCMH,A_A4,1,2,4.12017736053927e-07,0.00281185404712157
11099,CMH,KCMH,A,1,2,2.72827037406387e-07,0.00284761299514047
11100,CMH,KCMH,A_R6,1,2,4.54263293335477e-07,0.00314457928207763
11101,CMH,KCMH,A,1,2,3.22056848744978e-07,0.00317680956390342
11102,CMH,KCMH,A_R5,1,2,4.45548947604346e-07,0.00311757429018588
11103,CMH,KCMH,A,1,2,1.86505531019066e-07,0.00200371092488983
11104,CMH,KCMH,B4,1,2,2.82172719967555e-07,0.00287067734872915
11105,SGS,KSGS,B,1,2,3.30071088683326e-07,0.00464073457911088
11106,SGS,KSGS,B_B2,1,2,8.67157723405398e-08,0.00118067979859394
11107,SGS,KSGS,B,1,2,1.2768850865541e-07,0.00191812291680437
11108,SGS,KSGS,A_A4,1,2,6.8488749031901e-08,0.00101039026466589
11109,SGS,KSGS,B_B1,1,2,7.69705366110429e-08,0.00128894674012008
11110,SGS,KSGS,UNK,1,2,1.64069336797135e-08,0.000613759499814661
11111,SGS,KSGS,UNK,1,2,2.2191652012532e-08,0.000735638027409538
11112,AZO,KAZO,B_UNK,1,2,1.11996590834718e-07,0.00157849916636804
11113,AZO,KAZO,B,1,2,2.60396745943581e-07,0.00309826000328563
